road,id,model_type,name,lat,lon,length,condition,lrp,real_name
N1,1000023,bridge,bridge 5,23.6943608,90.5376108,8.3,A,LRP011a,NAYABARI KASPUR BOX CULVERT
N1,1000024,link,,23.6922774,90.5410552,428.0,A,LRP011b,Box culvert
N1,1000025,link,,23.6918052,90.5426108,184.0,A,LRP012,"Chittagong 248 km,Comilla 81 km"
N1,1000026,bridge,bridge 6,23.6911108,90.5448886,9.3,A,LRP012a,KHAS PARA BOX CULVERT
N1,1000027,bridge,bridge 7,23.6910552,90.5451386,6.1,A,LRP012b,DAWAN BAG BOX CULVERT
N1,1000028,intersection,intersection 1,23.6904163,90.546583,165.0,A,LRP012c,Right to Syedpur (R113) left to Joydebpur N105)
N1,1000029,link,,23.6865274,90.5504167,588.0,A,LRP013,"Ctg 247 km,Comilla 80 km"
N1,1000030,bridge,bridge 8,23.6854997,90.5512778,26.3,A,LRP013a,MADANPUR BRIDGE(L)
N1,1000031,link,,23.678166,90.5556111,852.0,A,LRP014,Km post missing
N1,1000032,link,,23.670916,90.5597778,1000.0,A,LRP015,Km post missing
N1,1000033,link,,23.6705827,90.5599722,39.0,A,LRP015a,Box culvert
N1,1000034,link,,23.6628333,90.5641111,961.0,A,LRP016,Km post missing
N1,1000035,bridge,bridge 9,23.6604167,90.5671104,5.55,B,LRP016a,MALIBAG BOX CULVERT
N1,1000036,link,,23.6591111,90.5697216,307.0,A,LRP016b,Langalbandhu bridge
N1,1000037,link,,23.6583056,90.5709993,160.0,A,LRP016c,Bridge end
N1,1000038,link,,23.6575,90.5719716,122.0,A,LRP017,Km post missing
N1,1000039,link,,23.6559722,90.5743327,307.0,A,LRP017a,Bridge start
N1,1000040,bridge,bridge 10,23.6559167,90.5745271,159.52,C,LRP017b,Langalbandh Bridge.
N1,1000041,link,,23.6540556,90.5772771,352.0,A,LRP017c,Bridge start
N1,1000042,link,,23.6539167,90.5774993,30.0,A,LRP017d,Bridge end
N1,1000043,link,,23.6525278,90.5798882,290.0,A,LRP018,Km post missing
N1,1000044,bridge,bridge 11,23.6508889,90.5826382,20.0,B,LRP018a,DARIKANDI BRIDGE (R)
N1,1000045,bridge,bridge 12,23.6506944,90.5829993,20.45,A,LRP018b,Darikandi Bridge (R)
N1,1000046,link,,23.6476108,90.588083,620.0,A,LRP019,Km post missing
N1,1000047,bridge,bridge 13,23.6449441,90.5899163,40.5,C,LRP019a,MOLLIK PARA BRIDGE (R)
N1,1000048,bridge,bridge 14,23.6397497,90.5926941,40.33,B,LRP019b,Mollik para Bridge(R)
N1,1000049,link,,23.6396941,90.5927219,3.0,A,LRP020,Km post missing
N1,1000050,bridge,bridge 15,23.6358608,90.5948052,6.0,A,LRP020a,KRIBORDI BOX CULVERT
N1,1000051,bridge,bridge 16,23.6341108,90.5970274,10.4,B,LRP020b,SHADIPUR BOX CULVERT
N1,1000052,link,,23.6335552,90.5976941,100.0,A,LRP020c,Bridge end
N1,1000053,link,,23.6330549,90.5982774,82.0,A,LRP021,Km post missing
N1,1000054,link,,23.6262771,90.6042222,975.0,A,LRP021a,Box culvert
N1,1000055,link,,23.6252216,90.6049722,130.0,A,LRP022,"Ctg 238 km,Comilla 71 km"
N1,1000056,bridge,bridge 17,23.6242216,90.6055278,5.5,B,LRP022a,SANGAKADI CULVERT
N1,1000057,link,,23.6224993,90.6066944,228.0,A,LRP022b,Bridge end
N1,1000058,link,,23.6204716,90.6079722,259.0,A,LRP022c,Bridge start
N1,1000059,link,,23.6195271,90.6085833,122.0,A,LRP022d,Bridge end
N1,1000060,link,,23.6173604,90.6096944,255.0,A,LRP023,Km post missing
N1,1000061,bridge,bridge 18,23.6095556,90.6121944,213.5,B,LRP023a,ASHIR CHAR ( Left)
N1,1000062,link,,23.609,90.6124722,65.0,A,LRP024,Km post missing
N1,1000063,bridge,bridge 19,23.6018611,90.6159722,900.0,C,LRP024a,MEGHNA BRIDGE
N1,1000064,link,,23.6009444,90.6165556,126.0,A,LRP025,Km post missing
N1,1000065,link,,23.5959997,90.624666,1000.0,A,LRP026,Km post missing
N1,1000066,bridge,bridge 20,23.5959441,90.6246938,5.6,A,LRP026a,TATULTALA CULVERT
N1,1000067,bridge,bridge 21,23.5917497,90.6293327,5.5,A,LRP026b,BAILAKANDI CULVERT
N1,1000068,link,,23.5896108,90.6313882,316.0,A,LRP027,Km post missing
N1,1000069,bridge,bridge 22,23.5837497,90.6369441,5.6,A,LRP027a,MALUAKANDI CULVEDRT
N1,1000070,link,,23.5828327,90.6378886,126.0,A,LRP028,Km post missing
N1,1000071,bridge,bridge 23,23.5825827,90.6381386,163.5,A,LRP028a,BHATIR CHAR BRIDGE
N1,1000072,bridge,bridge 24,23.577916,90.6419719,172.1,A,LRP028b,Bhater char Bridge (L)
N1,1000073,link,,23.5776104,90.6421108,39.0,A,LRP028c,Bridge end
N1,1000074,link,,23.5745271,90.6436941,396.0,A,LRP029,Information missing
N1,1000075,bridge,bridge 25,23.572166,90.6451108,29.0,A,LRP029a,ANAR PURA BRIDGE(L)
N1,1000076,bridge,bridge 26,23.5718327,90.6453052,29.77,A,LRP029b,Anarpara Bridge (R)
N1,1000077,link,,23.5666111,90.6481663,646.0,A,LRP030,Km post missing
N1,1000078,bridge,bridge 27,23.5639167,90.6501944,34.7,A,LRP030a,VITIKANDA - ANAR PUR CULVERT
N1,1000079,link,,23.5636944,90.6504722,38.0,A,LRP030b,Bridge end
N1,1000080,link,,23.5604167,90.6542222,532.0,A,LRP030c,Bridge start
N1,1000081,link,,23.5602222,90.6545,38.0,A,LRP030d,Bridge end
N1,1000082,link,,23.5599722,90.6548056,39.0,A,LRP031,"Ctg 229 km,Comilla 62 km"
N1,1000083,bridge,bridge 28,23.5590278,90.6559444,26.3,B,LRP031a,ALIPURA BRIDGE (LEFT)
N1,1000084,link,,23.5564444,90.6588611,412.0,A,LRP031b,Bridge start
N1,1000085,link,,23.5562222,90.6591389,40.0,A,LRP031c,Bridge end
N1,1000086,link,,23.5538056,90.6619722,395.0,A,LRP032,"Ctg 228 km,Comilla 61 km"
N1,1000087,bridge,bridge 29,23.5523333,90.6636667,29.0,A,LRP032a,VOBAR CHAR BRIDGE(R)
N1,1000088,link,,23.5487497,90.6678327,582.0,A,LRP033,"Ctg 227 km,Comilla 60 km"
N1,1000089,bridge,bridge 30,23.5474163,90.6694438,9.1,A,LRP033a,PURRANBUICHE BOX CULVERT
N1,1000090,bridge,bridge 31,23.5469441,90.6699993,5.2,A,LRP033b,NOYAPARA
N1,1000091,link,,23.5442219,90.6731104,443.0,A,LRP033c,Box culvert
N1,1000092,link,,23.542583,90.6749438,256.0,A,LRP034,Km post missing
N1,1000093,link,,23.5362497,90.681916,1000.0,A,LRP035,Km post missing
N1,1000094,bridge,bridge 32,23.536083,90.6821382,9.5,A,LRP035a,.
N1,1000095,link,,23.5358608,90.6823604,40.0,A,LRP035b,Bridge end
N1,1000096,link,,23.5341386,90.6843052,275.0,A,LRP035c,Box culvert
N1,1000097,link,,23.5301938,90.688833,651.0,A,LRP036,Km post missing
N1,1000098,bridge,bridge 33,23.529916,90.6952219,24.5,B,LRP036a,BORAKANDI BRIDGE(L)
N1,1000099,link,,23.5301382,90.6984997,336.0,A,LRP037,Km post missing
N1,1000100,link,,23.5307493,90.7082778,1000.0,A,LRP038,Km post missing
N1,1000101,link,,23.5307771,90.7090278,78.0,A,LRP038a,Daudkandi bridge
N1,1000102,link,,23.5313882,90.7153611,355.0,A,LRP038b,Start of Comilla road Division / Start of Comilla road Division
N1,1000103,link,,23.5314716,90.7172216,426.0,A,LRP038c,Road to Matlab (Z1062)
N1,1000104,link,,23.5315271,90.7173604,77.0,A,LRP038d,Bridge start
N1,1000105,link,,23.5315827,90.7176104,17.0,A,LRP038e,Bridge end
N1,1000106,link,,23.5317216,90.7180271,47.0,A,LRP039,Km post missing
N1,1000107,link,,23.5322346,90.7226298386,513.0,A,LRP039a,Box culvert
N1,1000108,link,,23.5327216,90.7269993,487.0,A,LRP040,Km post missing
N1,1000109,link,,23.528916,90.7356108,1000.0,A,LRP041,Km post missing
N1,1000110,link,,23.5289993,90.7419441,654.0,A,LRP042,Ctg 214 km
N1,1000111,link,,23.5293882,90.7514167,967.0,A,LRP042a,Bridge start
N1,1000112,link,,23.5293882,90.7515833,17.0,A,LRP042b,Bridge end
N1,1000113,link,,23.529416,90.75175,24.0,A,LRP043,Km post broken
N1,1000114,link,,23.5299993,90.7615,1000.0,A,LRP044,Km post Missing
N1,1000115,link,,23.5304438,90.7713049,1000.0,A,LRP045,Km post Missing
N1,1000116,link,,23.5304993,90.7731104,185.0,A,LRP045a,Box culvert
N1,1000117,link,,23.5308049,90.7811104,815.0,A,LRP046,Km post Missing
N1,1000118,bridge,bridge 34,23.5307493,90.7816104,3.9,C,LRP046a,SARKAR BARI CULVERT
N1,1000119,link,,23.530666,90.7821938,66.0,A,LRP046b,"Z1053, Road to Homna"
N1,1000120,link,,23.5312216,90.7895552,773.0,A,LRP046c,Box culvert
N1,1000121,link,,23.531166,90.7907219,108.0,A,LRP047,Km post Missing
N1,1000122,bridge,bridge 35,23.5306938,90.7924441,6.5,C,LRP047a,AMIRABATH SLAB CULVERT
N1,1000123,link,,23.5308604,90.8002222,45.0,A,LRP048,Km post Missing
N1,1000124,link,,23.5308882,90.8041389,403.0,A,LRP048a,Bridge start
N1,1000125,link,,23.530916,90.8043611,20.0,A,LRP048b,Bridge end
N1,1000126,link,,23.5316382,90.8099167,577.0,A,LRP049,Km post Missing
N1,1000127,link,,23.5332493,90.8194716,1000.0,A,LRP050,Km post Missing
N1,1000128,link,,23.5346663,90.8249716,594.0,A,LRP050a,Bridge start
N1,1000129,link,,23.5347219,90.8251104,16.0,A,LRP050b,Bridge end
N1,1000130,link,,23.5344997,90.8287216,390.0,A,LRP051,Km post Missing
N1,1000131,link,,23.5292216,90.8365274,1000.0,A,LRP052,Km post Missing
N1,1000132,link,,23.5270549,90.8391386,367.0,A,LRP052a,Box culvert
N1,1000133,link,,23.523166,90.8438886,633.0,A,LRP053,Km post Missing
N1,1000134,link,,23.5174993,90.8513889,1000.0,A,LRP054,Km post Missing
N1,1000135,link,,23.5170827,90.8607778,1000.0,A,LRP055,Km post Missing
N1,1000136,link,,23.5135833,90.8697771,1000.0,A,LRP056,Km post Missing
N1,1000137,bridge,bridge 36,23.5133056,90.8703049,28.9,C,LRP056a,Illiot bazar Bridge
N1,1000138,link,,23.5131111,90.8706382,42.0,A,LRP056b,Bridge end
N1,1000139,link,,23.5126667,90.871416,102.0,A,LRP056c,"Z1042, road to Bancharampur"
N1,1000140,link,,23.5088056,90.8778604,792.0,A,LRP057,Km post Missing
N1,1000141,link,,23.506,90.8869163,1000.0,A,LRP058,Km post Missing
N1,1000142,link,,23.5056111,90.8958886,922.0,A,LRP058a,Box culvert
N1,1000143,link,,23.5056389,90.8966108,78.0,A,LRP059,Km post Missing
N1,1000144,link,,23.5062778,90.9063889,1000.0,A,LRP060,Km post Missing
N1,1000145,link,,23.50575,90.91525,911.0,A,LRP060a,Box culvert
N1,1000146,link,,23.5057222,90.9160278,89.0,A,LRP061,Km post Missing
N1,1000147,link,,23.5055278,90.9257216,1000.0,A,LRP062,Km post Missing
N1,1000148,link,,23.5042778,90.9354163,1000.0,A,LRP063,Km post Missing
N1,1000149,link,,23.5043333,90.9354719,9.0,A,LRP063a,"Z1017, Road to Companiganj"
N1,1000150,link,,23.5038611,90.9371386,264.0,A,LRP063b,Box culvert
N1,1000151,link,,23.5028611,90.9412774,352.0,A,LRP063c,Box culvert
N1,1000152,link,,23.5020278,90.9448886,375.0,A,LRP064,Km post Missing
N1,1000153,link,,23.4995274,90.9541667,1000.0,A,LRP065,Km post Missing
N1,1000154,link,,23.4986386,90.9651111,1000.0,A,LRP066,Km post Missing
N1,1000155,link,,23.4980552,90.9660278,274.0,A,LRP066a,Box culvert
N1,1000156,link,,23.4972774,90.9674716,183.0,A,LRP067,Ctg 191 km
N1,1000157,link,,23.4942219,90.9765549,1000.0,A,LRP068,Km post Missing
N1,1000158,bridge,bridge 37,23.4951386,90.9829993,4.5,A,LRP068a,MILL GHAT BOX CULVERT
N1,1000159,link,,23.4942497,90.985833,306.0,A,LRP069,Km post Missing
N1,1000160,link,,23.4911386,90.9950274,1000.0,A,LRP070,Km post Missing
N1,1000161,link,,23.4894441,91.0033056,890.0,A,LRP070a,Road to Debiduar (Z1008)
N1,1000162,link,,23.4893886,91.0034722,22.0,A,LRP070b,Road to Jhalam (Z1022)
N1,1000163,link,,23.4896108,91.0043056,71.0,A,LRP071,Ctg 188 km
N1,1000164,link,,23.4893052,91.0112778,734.0,A,LRP072,"Ctg 188 km,Comilla 20 km"
N1,1000165,bridge,bridge 38,23.4890552,91.0120278,23.1,C,LRP072a,CHANDINA- SHAHA PARA RCC GIDER GRIDGE
N1,1000166,link,,23.4889441,91.01225,30.0,A,LRP072b,Bridge end
N1,1000167,link,,23.488333,91.0140833,198.0,A,LRP073,Ctg 187 km
N1,1000168,link,,23.4846386,91.0229438,1020.0,A,LRP074,Km post missing
N1,1000169,link,,23.4827771,91.0321382,1000.0,A,LRP075,Km post missing
N1,1000170,bridge,bridge 39,23.481166,91.0404441,4.6,B,LRP075a,CORI PAI BOX CULVERT
N1,1000171,link,,23.4814716,91.0419719,141.0,A,LRP076,Ctg 184 km
N1,1000172,bridge,bridge 40,23.4820827,91.0504167,4.6,B,LRP076a,COREPAI BOX CULVERT
N1,1000173,link,,23.4821382,91.0516944,129.0,A,LRP077,Km post missing
N1,1000174,bridge,bridge 41,23.4815271,91.0590278,1.5,A,LRP077a,NIMSHAR SLAB CULVERT
N1,1000175,link,,23.4815549,91.0613611,240.0,A,LRP078,Km post missing
N1,1000176,link,,23.4801104,91.0706382,1000.0,A,LRP079,Km post missing
N1,1000177,bridge,bridge 42,23.4770827,91.0789993,1.0,C,LRP079a,KABILA DUBARCHAR SLAB CULVERT
N1,1000178,link,,23.4770271,91.0794716,56.0,A,LRP080,Km post missing
N1,1000179,link,,23.4781938,91.0889997,1000.0,A,LRP081,Km post missing
N1,1000180,link,,23.4775549,91.0986663,1000.0,A,LRP082,Km post missing
N1,1000181,link,,23.4778604,91.1036111,513.0,A,LRP082a,Box culvert
N1,1000182,link,,23.4779993,91.1055278,487.0,A,LRP083,Km post missing
N1,1000183,bridge,bridge 43,23.4789438,91.1177216,1.4,A,LRP083a,TIPRA BAZAR BOX CULVERT
N1,1000186,link,,23.4793327,91.1234716,547.0,A,LRP084b,Box culvert
N1,1000187,link,,23.4800827,91.1276382,436.0,A,LRP085,Km post missing
N1,1000188,link,,23.4767216,91.1364441,1000.0,A,LRP086,Km post missing
N1,1000189,link,,23.4682216,91.1394441,1000.0,A,LRP087,Km post missing
N1,1000190,link,,23.4595833,91.1421386,1000.0,A,LRP088,Km post missing
N1,1000191,bridge,bridge 44,23.459,91.142333,22.85,C,LRP088a,Dhanpur Bridge
N1,1000192,link,,23.4513056,91.1460552,932.0,A,LRP089,Km post missing
N1,1000193,link,,23.448833,91.1471386,303.0,A,LRP089a,Bridge start
N1,1000194,link,,23.4486386,91.1472497,24.0,A,LRP089b,Bridge end
N1,1000195,link,,23.4469441,91.1481386,210.0,A,LRP089c,Cross Road with Z1052
N1,1000196,link,,23.4425274,91.1497774,463.0,A,LRP090,Km post missing
N1,1000197,link,,23.4373886,91.1521944,684.0,A,LRP091,Ctg 170 km
N1,1000198,link,,23.4288882,91.1553889,1000.0,A,LRP092,Km post missing
N1,1000199,link,,23.4236938,91.1626944,980.0,A,LRP093,Ctg 168 km
N1,1000200,link,,23.4235827,91.1629722,28.0,A,LRP093a,Bridge start
N1,1000201,link,,23.423416,91.1632778,37.0,A,LRP093b,Bridge end
N1,1000202,link,,23.4213604,91.167666,508.0,A,LRP093c,Rail Road Crossing
N1,1000203,link,,23.4195271,91.171416,427.0,A,LRP094,Km post missing
N1,1000204,bridge,bridge 45,23.4191382,91.1721938,27.35,C,LRP094a,Mostapur Bridge
N1,1000205,link,,23.4149444,91.1801382,538.0,A,LRP095,"Ctg 66 km,Feni 52 km"
N1,1000206,link,,23.4131111,91.1846663,511.0,A,LRP095a,Bridge start
N1,1000207,link,,23.4130556,91.1849163,28.0,A,LRP095b,Bridge end
N1,1000208,link,,23.4125,91.1893886,461.0,A,LRP096,Km post missing
N1,1000209,link,,23.4113056,91.1988886,1008.0,A,LRP097,Ctg 164 km
N1,1000210,link,,23.4100833,91.2087778,1027.0,A,LRP098,Ctg 163 km
N1,1000211,bridge,bridge 46,23.4100278,91.2090833,27.35,C,LRP098a,Matigara Bridge
N1,1000212,link,,23.4048056,91.2165278,980.0,A,LRP099,Ctg 162 km
N1,1000213,link,,23.40375,91.2176382,172.0,A,LRP099a,Bridge start
N1,1000214,link,,23.4035556,91.2178049,29.0,A,LRP099b,Bridge end
N1,1000215,link,,23.398213447804338,91.22288776581436,799.0,A,LRP100,Km post missing
N1,1000216,link,,23.3915274,91.2292493,1000.0,A,LRP101,Km post missing
N1,1000217,bridge,bridge 47,23.3914441,91.2293049,30.4,A,LRP101a,SUAGAZI RCC GIDER BRIDGE
N1,1000218,link,,23.385083,91.2345552,892.0,A,LRP101b,Box culvert
N1,1000219,link,,23.3849719,91.2346108,15.0,A,LRP101c,Box culvert
N1,1000220,link,,23.3843886,91.2351108,83.0,A,LRP102,Km post missing
N1,1000221,link,,23.3779716,91.2403608,898.0,A,LRP102a,Bridge start
N1,1000222,link,,23.3777493,91.2405274,30.0,A,LRP102b,Bridge end
N1,1000223,link,,23.377166,91.2409163,72.0,A,LRP103,Km post missing
N1,1000224,link,,23.3695827,91.2462774,1000.0,A,LRP104,Km post missing
N1,1000225,bridge,bridge 48,23.3683327,91.2471108,22.8,C,LRP104a,LAL BAG RCC GIDER BRIDGE
N1,1000226,link,,23.3615278,91.2515556,904.0,A,LRP105,"Ctg 156 km,Feni 43 km"
N1,1000227,bridge,bridge 49,23.3586389,91.25325,14.3,A,LRP105a,CHANSIRI BOXCUIVERT
N1,1000228,link,,23.3584444,91.2533333,24.0,A,LRP105b,Bridge end
N1,1000229,link,,23.3536944,91.2561389,610.0,A,LRP106,Km post missing
N1,1000230,link,,23.3486386,91.2599444,687.0,A,LRP106a,Box culvert
N1,1000231,link,,23.3463608,91.2616944,313.0,A,LRP107,Km post missing
N1,1000232,link,,23.3390552,91.2672216,1000.0,A,LRP108,Km post missing
N1,1000233,link,,23.3360274,91.2700549,444.0,A,LRP108a,Bridge start
N1,1000234,link,,23.3357219,91.2703049,44.0,A,LRP108b,Bridge end
N1,1000235,link,,23.3347219,91.271166,143.0,A,LRP108c,Road to Harishchar (Z1046)
N1,1000236,link,,23.3321938,91.2734716,369.0,A,LRP109,Km post missing
N1,1000237,link,,23.3246382,91.278666,1000.0,A,LRP110,Km post missing
N1,1000238,bridge,bridge 50,23.324166,91.2791104,19.2,B,LRP110a,DOLL BARI CULVERT
N1,1000239,link,,23.3240827,91.279166,10.0,A,LRP110b,Bridge end
N1,1000240,link,,23.3171382,91.2836941,917.0,A,LRP111,Km post missing
N1,1000241,bridge,bridge 51,23.3149444,91.2844719,3.2,A,LRP111a,LALGORE BEZER CULVERT
N1,1000242,link,,23.31475,91.2845552,19.0,A,LRP111b,Bridge end
N1,1000243,link,,23.3096389,91.2861386,598.0,A,LRP111c,Box culvert
N1,1000244,link,,23.3086944,91.2864163,113.0,A,LRP112,Km post missing
N1,1000245,bridge,bridge 52,23.30425,91.288583,13.4,A,LRP112a,SUPUYA BOX CULVERT
N1,1000246,link,,23.3006111,91.290333,453.0,A,LRP113,Km post missing
N1,1000247,bridge,bridge 53,23.296083,91.2914997,4.6,B,LRP113a,BOWCHI BAZAR CULVERT
N1,1000248,link,,23.2959719,91.2915274,14.0,A,LRP113b,Bridge end
N1,1000249,link,,23.2919163,91.2922219,467.0,A,LRP114,Km post missing
N1,1000250,bridge,bridge 54,23.2876663,91.2936386,6.3,B,LRP114a,AMAN GONG SLAB CULVERT
N1,1000251,link,,23.283583,91.2952219,498.0,A,LRP115,Km post missing
N1,1000252,link,,23.2787216,91.3002778,774.0,A,LRP115a,Box culvert
N1,1000253,link,,23.2768882,91.3011944,226.0,A,LRP116,Km post missing
N1,1000254,link,,23.2686382,91.3049722,1000.0,A,LRP117,Km post missing
N1,1000255,bridge,bridge 55,23.2677493,91.3054722,4.5,B,LRP117a,HARISHARDE CULVERT
N1,1000256,link,,23.2654444,91.3064444,277.0,A,LRP117b,Box culvert
N1,1000257,link,,23.2636667,91.30675,203.0,A,LRP117c,Box culvert
N1,1000258,link,,23.2601111,91.3072778,404.0,A,LRP118,Km post missing
N1,1000259,bridge,bridge 56,23.2587222,91.3074444,2.5,B,LRP118a,SONAGATI BOX CULVERT
N1,1000260,link,,23.2511944,91.3086389,844.0,A,LRP119,Km post missing
N1,1000261,bridge,bridge 57,23.249833,91.3091944,2.5,A,LRP119a,KALIR BAZAR BOX CULVERT
N1,1000262,bridge,bridge 58,23.248333,91.3098056,3.1,B,LRP119b,KALIA BAZER BOC CULVERT
N1,1000263,link,,23.2481663,91.3098889,23.0,A,LRP119c,Bridge end
N1,1000264,link,,23.2452774,91.3110556,347.0,A,LRP119d,Box culvert
N1,1000265,link,,23.243083,91.3119167,270.0,A,LRP120,Km post missing
N1,1000266,bridge,bridge 59,23.2416941,91.3123611,2.6,B,LRP120a,CHAUDDAGARAM BOX CULVERT
N1,1000267,bridge,bridge 60,23.2344997,91.3131667,6.0,A,LRP120b,CHADDAGRAM BAZAR BOX CULVERT
N1,1000268,link,,23.2343052,91.3131667,20.0,A,LRP121,Km post missing
N1,1000269,link,,23.2314993,91.3132222,315.0,A,LRP121a,Box culvert
N1,1000270,bridge,bridge 61,23.2275549,91.3135278,14.3,B,LRP121b,HAYDAR POLE BOX CULVERT
N1,1000271,link,,23.2253882,91.3135833,237.0,A,LRP122,Km post missing
N1,1000272,bridge,bridge 62,23.221416,91.3137222,6.1,A,LRP122a,FALGUNCORA CULVERT
N1,1000273,link,,23.2184993,91.3143889,328.0,A,LRP122b,Box culvert
N1,1000274,link,,23.2165556,91.3149167,222.0,A,LRP123,Km post missing
N1,1000275,bridge,bridge 63,23.2103056,91.3157222,6.1,A,LRP123a,ATTOCK GRAM BOX CULVERT
N1,1000276,link,,23.2078889,91.3159722,282.0,A,LRP124,Km post missing
N1,1000277,bridge,bridge 64,23.201,91.3168049,6.1,C,LRP124a,BOSONTA PUR BOX CULVERT
N1,1000278,link,,23.1990274,91.3170549,229.0,A,LRP125,Km post missing
N1,1000279,bridge,bridge 65,23.1921108,91.3185549,9.5,B,LRP125a,BASHONTA PUR (2)
N1,1000280,link,,23.1909997,91.3192493,135.0,A,LRP126,Km post missing
N1,1000281,bridge,bridge 66,23.1866941,91.3212493,3.1,B,LRP126a,NANKORA BOX CULVERT
N1,1000282,link,,23.1866108,91.3212771,12.0,A,LRP126b,Bridge end
N1,1000283,link,,23.1826382,91.3210827,465.0,A,LRP127,Km post missing
N1,1000284,bridge,bridge 67,23.1773604,91.3198049,9.5,A,LRP127a,ANDAJER BAZER BOX CULVERT
N1,1000285,link,,23.172916,91.3205271,515.0,A,LRP128,Ctg 133 km
N1,1000286,bridge,bridge 68,23.1681382,91.3213604,6.3,B,LRP128a,DIMATOLI (1) BOX CULVERT
N1,1000287,link,,23.1680549,91.3213604,14.0,A,LRP128b,Bridge end
N1,1000288,link,,23.1641389,91.3214993,440.0,A,LRP129,Km post missing
N1,1000289,bridge,bridge 69,23.1571667,91.3224993,3.5,B,LRP129a,DIMATOLY (2) BOX CULVERT
N1,1000290,link,,23.1554167,91.3232771,208.0,A,LRP130,Km post missing
N1,1000291,bridge,bridge 70,23.1496941,91.3254993,6.1,B,LRP130a,JAGARNATHPUR BOX CULVERT
N1,1000292,link,,23.1480274,91.3264993,269.0,A,LRP130b,Box culvert
N1,1000293,link,,23.1471663,91.3266938,99.0,A,LRP131,Km post missing
N1,1000294,bridge,bridge 71,23.1433886,91.326666,3.0,B,LRP131a,JAGOT PUR BOX CULVERT
N1,1000295,link,,23.1382219,91.3263049,579.0,A,LRP132,Km post missing
N1,1000296,bridge,bridge 72,23.1374163,91.3264716,4.5,B,LRP132a,FOKIR BAZAR SLAB CULVERT
N1,1000297,link,,23.1295827,91.3284993,898.0,A,LRP133,Km post missing
N1,1000298,bridge,bridge 73,23.1290827,91.3287216,5.3,B,LRP133a,KAKKARA CULVERT
N1,1000299,link,,23.1234993,91.3311382,675.0,A,LRP133b,Box culvert
N1,1000300,link,,23.1213327,91.3320549,255.0,A,LRP134,Km post missing
N1,1000301,bridge,bridge 74,23.1193049,91.3329993,6.1,A,LRP134a,Chanara Box Culvert
N1,1000302,link,,23.1191382,91.3330827,28.0,A,LRP135,"Ctg 127 km,Feni 16 km"
N1,1000303,link,,23.1113611,91.3378052,1000.0,A,LRP136,Km post missing
N1,1000304,bridge,bridge 75,23.1108056,91.3381386,3.1,A,LRP136a,PODOYA BOX CULVERT
N1,1000305,link,,23.1051111,91.3413608,720.0,A,LRP136b,Box culvert
N1,1000306,link,,23.1035,91.3422497,205.0,A,LRP137,Km post missing
N1,1000307,bridge,bridge 76,23.1005833,91.3437774,3.5,A,LRP137a,UTTOR KAIEATI CULVERT
N1,1000308,bridge,bridge 77,23.0961941,91.3461108,14.2,B,LRP137b,KOKALI BOX CULVERT
N1,1000309,link,,23.095583,91.3464441,82.0,A,LRP138,Km post missing
N1,1000310,bridge,bridge 78,23.0901108,91.3494163,6.1,B,LRP138a,DUTHOSHA BOX CULVERT
